x,y
-0.4883,-0.7442
-47.5,0
-25,-13
-5,-8
0,-18
-25,13
-5,8
0,18
-20.4095,-4.774
-20,5
-10,0
-0.204,-0.3265
49,0
25,5
25,-5
24.6836,10.1773
24.6637,-10.0129
24.6289,0.0536
15,5
15,-5
15,10
15,-10
15,0
-0.0424,0.0708
-47.0026,0.0391
-25,-13
-5.1901,-8.2009
0,-18
-25,13
-5,8
0.0494,17.7131
-20.6229,-4.672
-20.4547,4.9447
-10,0
-0.204,-0.3265
49.1017,-0.0266
24.608,4.8946
25,-5
24.2422,10.4552
24.5139,-10.0089
23.877,0.1235
15,5
15,-5
14.6474,10.1715
15,-10
15,0
0.2237,-0.4839
-46.7908,0.0637
-24.9443,-13.2928
-5.4736,-8.4921
-0.036,-17.6975
-25,13
-5.2482,8.1422
0.1025,17.3246
-21.2112,-4.6515
-20.678,4.9076
-10,0
-0.204,-0.3265
49.1461,-0.0366
24.0568,4.7639
24.6484,-5.0729
23.6821,10.7763
24.0566,-10.1401
23.1662,0.1913
15,5
15,-5
14.1451,10.4156
15,-10
15,0
0.0914,-3.4384
-46.7137,0.0772
-24.8879,-13.6907
-5.7807,-8.786
-0.1624,-16.9676
-25,13
-5.3331,8.1939
0.1025,16.5823
-22.0002,-4.6444
-20.7852,4.8825
-10,0
-0.204,-0.3265
49.1645,-0.0394
23.4216,4.6343
24.1691,-5.1574
23.1096,11.12
23.4683,-10.2903
22.4202,0.3011
14.6293,5.0728
14.6354,-5.1138
13.5921,10.645
14.6763,-10.1612
14.666,-0.0462
-0.0091,-6.2377
-46.6832,0.0826
-24.8208,-14.1082
-6.1368,-9.1098
-0.2078,-16.7097
-25,13
-5.5606,8.4244
0.1341,15.6852
-22.3616,-4.6621
-21.2862,4.9079
-10,0
-0.204,-0.3265
49.4491,-0.0714
22.7441,4.4593
23.595,-5.243
22.5288,11.4753
23.2394,-10.3465
21.6953,0.3927
14.1332,5.2155
14.462,-5.1691
12.9543,10.8932
14.2103,-10.4061
14.151,-0.1432
-0.1065,-8.8665
-46.6716,0.0848
-24.7879,-14.2742
-6.2658,-9.2346
-0.2265,-16.6152
-24.9633,13.3054
-5.6423,8.5052
0.1534,15.2934
-22.5478,-4.6811
-21.5353,4.9197
-10.0507,0.2285
-0.176,0.2901
49.5652,-0.0874
